Distrcit/City,Population
Ahrweiler,128146
Altenkirchen,129261
Alzey-Worms,131330
Bad Dürkheim,133206
Bad Kreuznach,159402
Bernkastel-Wittlich,113194
Birkenfeld,80849
Bitburg-Prüm,100959
Cochem-Zell,61735
Donnersbergkreis,75569
Germersheim,129313
Kaiserslautern,106853
Kusel,69949
Mainz-Bingen,212420
Mayen-Koblenz,215446
Neuwied,184390
Rhein-Hunsrück,103767
Rhein-Lahn-Kreis,122724
Rhein-Pfalz-Kreis,155050
Südliche Weinstr.,111279
Südwestpfalz,94819
Trier-Saarburg,151167
Vulkaneifel,60882
Westerwaldkreis,203831
KS Frankenthal,48773
KS Kaiserslautern,99292
KS Koblenz,113638
KS Landau i.d.Pf.,46919
KS Ludwigshafen,172145
KS Mainz,217556
KS Neustadt a.d.W.,53491
KS Pirmasens,40054
KS Speyer,50565
KS Trier,110570
KS Worms,83850
KS Zweibrücken,34091
,
